维度,子维度,变量,Label,类型,有效N,缺失数,缺失率(%),类别数,均值,标准差,最小值,最大值,众数Top3
维度4 社会规范,机构信任-警察,Q69P,Confidence: The Police,连续/有序,94808,2412,2.481,,2.6535207999324952,0.9364251448038352,1.0,4.0,
维度4 社会规范,机构信任-法院,Q70P,Confidence: Justice System/Courts,连续/有序,93709,3511,3.611,,2.5784823229358973,0.9400434962447834,1.0,4.0,
维度4 社会规范,机构信任-政府,Q71P,Confidence: The Government,连续/有序,94083,3137,3.227,,2.37566829289032,0.9881333919818369,1.0,4.0,
维度4 社会规范,机构信任-政党,Q72P,Confidence: The Political Parties,连续/有序,93915,3305,3.4,,2.0298887291699943,0.8921618154787847,1.0,4.0,
维度4 社会规范,机构信任-议会,Q73P,Confidence: Parliament,连续/有序,93741,3479,3.578,,2.1987284112608143,0.9447557091516489,1.0,4.0,
维度4 社会规范,机构信任-公务员,Q74P,Confidence: The Civil Services,连续/有序,93883,3337,3.432,,2.435126700254572,0.8873733417485484,1.0,4.0,
维度4 社会规范,机构信任-大学,Q75P,Confidence: Universities,连续/有序,93295,3925,4.037,,2.852253604158851,0.8445763128817776,1.0,4.0,
维度4 社会规范,机构信任-选举,Q76P,Confidence: Election,连续/有序,93400,3820,3.929,,2.403832976445396,0.9527101849350081,1.0,4.0,
维度4 社会规范,机构信任-大企业,Q77P,Confidence: Major Companies,连续/有序,91853,5367,5.52,,2.3845709993141213,0.8451596817453045,1.0,4.0,
维度4 社会规范,机构信任-银行,Q78P,Confidence: Banks,连续/有序,94353,2867,2.949,,2.579737793180927,0.9219610139094003,1.0,4.0,
维度4 社会规范,机构信任-环保运动,Q79P,Confidence: The Environmental Protection Movement,连续/有序,90776,6444,6.628,,2.6219925971622455,0.8795548182858608,1.0,4.0,
维度4 社会规范,机构信任-妇女运动,Q80P,Confidence: The Women´s Movement,连续/有序,88635,8585,8.83,,2.6769222090596267,0.8720159719033513,1.0,4.0,
维度4 社会规范,机构信任-慈善组织,Q81P,Confidence: Charitable or humanitarian organizations,连续/有序,91480,5740,5.904,,2.705115872321819,0.8837427041691969,1.0,4.0,
维度4 社会规范,机构信任-区域组织,Q82P,Confidence: Major regional organization (combined from country-specific),连续/有序,75682,21538,22.154,,2.343952326841257,0.9119591370416886,1.0,4.0,
维度4 社会规范,机构信任-联合国,Q83P,Confidence: The United Nations (UN),连续/有序,83399,13821,14.216,,2.4282305543231932,0.9382488830181603,1.0,4.0,
维度4 社会规范,机构信任-IMF,Q84P,Confidence: International Monetary Found (IMF),连续/有序,78457,18763,19.3,,2.2952700205207948,0.9110524146843153,1.0,4.0,
维度4 社会规范,机构信任-ICC,Q85P,Confidence: International Criminal Court (ICC),连续/有序,77597,19623,20.184,,2.385156642653711,0.9153556497486011,1.0,4.0,
维度4 社会规范,机构信任-NATO,Q86P,Confidence: North Atlantic Treaty Organization (NATO),连续/有序,72041,25179,25.899,,2.2547021834788525,0.9117460233811804,1.0,4.0,
维度4 社会规范,机构信任-世界银行,Q87P,Confidence: The World Bank (WB),连续/有序,77995,19225,19.775,,2.39823065581127,0.9365937950355093,1.0,4.0,
维度4 社会规范,机构信任-WHO,Q88P,Confidence: The World Health Organization (WHO),连续/有序,81371,15849,16.302,,2.7003109215813987,0.9178348544952876,1.0,4.0,
维度4 社会规范,机构信任-WTO,Q89P,Confidence: The World Trade Organization (WTO),连续/有序,75977,21243,21.85,,2.4256551324743016,0.9007583485614625,1.0,4.0,
维度4 社会规范,伦理弹性-骗福利,Q177,Justifiable: Claiming government benefits to which you are not entitled,连续/有序,95532,1688,1.736,,2.9734748565925555,2.6715831086061446,1.0,10.0,
维度4 社会规范,伦理弹性-逃票,Q178,Justifiable: Avoiding a fare on public transport,连续/有序,93681,3539,3.64,,2.8417608693331626,2.5783707989770304,1.0,10.0,
维度4 社会规范,伦理弹性-偷窃,Q179,Justifiable: Stealing property,连续/有序,96315,905,0.931,,1.8181695478378237,1.7910232332778246,1.0,10.0,
维度4 社会规范,伦理弹性-逃税,Q180,Justifiable: Cheating on taxes,连续/有序,95941,1279,1.316,,2.2335393627333464,2.153673256391262,1.0,10.0,
维度4 社会规范,伦理弹性-受贿,Q181,Justifiable: Someone accepting a bribe in the course of their duties,连续/有序,96026,1194,1.228,,1.9660508612250849,1.9168047204788017,1.0,10.0,
维度4 社会规范,伦理弹性-同性恋,Q182,Justifiable: Homosexuality,连续/有序,89705,7515,7.73,,4.051870018393624,3.4081533604735648,1.0,10.0,
维度4 社会规范,伦理弹性-卖淫,Q183,Justifiable: Prostitution,连续/有序,88469,8751,9.001,,3.0496332048514168,2.6843081085587914,1.0,10.0,
维度4 社会规范,伦理弹性-堕胎,Q184,Justifiable: Abortion,连续/有序,94945,2275,2.34,,3.5541840012638897,2.988838459659754,1.0,10.0,
维度4 社会规范,伦理弹性-离婚,Q185,Justifiable: Divorce,连续/有序,95291,1929,1.984,,5.007261965977899,3.202261005193513,1.0,10.0,
维度4 社会规范,伦理弹性-婚前性,Q186,Justifiable: Sex before marriage,连续/有序,92406,4814,4.952,,4.655487738891414,3.4350473610220837,1.0,10.0,
维度4 社会规范,伦理弹性-自杀,Q187,Justifiable: Suicide,连续/有序,94854,2366,2.434,,2.5814093238028972,2.439956870763516,1.0,10.0,
维度4 社会规范,伦理弹性-安乐死,Q188,Justifiable: Euthanasia,连续/有序,93246,3974,4.088,,3.882075370525277,3.175178042002678,1.0,10.0,
维度4 社会规范,伦理弹性-家暴,Q189,Justifiable: For a man to beat his wife,连续/有序,93144,4076,4.193,,1.8580262818861117,1.8673249008176709,1.0,10.0,
维度4 社会规范,伦理弹性-体罚孩子,Q190,Justifiable: Parents beating children,连续/有序,96186,1034,1.064,,2.8315763208782982,2.5382237455929655,1.0,10.0,
维度4 社会规范,伦理弹性-暴力,Q191,Justifiable: Violence against other people,连续/有序,96198,1022,1.051,,1.9605501153870142,1.8580656477276487,1.0,10.0,
维度4 社会规范,伦理弹性-恐怖主义,Q192,"Justifiable: Terrorism as a political, ideological or religious mean",连续/有序,92697,4523,4.652,,1.7894753875529952,1.794037489040725,1.0,10.0,
维度4 社会规范,伦理弹性-随便性行为,Q193,Justifiable: Having casual sex,连续/有序,89470,7750,7.972,,3.5555381692187327,3.0409425878517746,1.0,10.0,
维度4 社会规范,伦理弹性-政治暴力,Q194,Justifiable: Political violence,连续/有序,92427,4793,4.93,,1.9873846386878293,1.9202650701491861,1.0,10.0,
维度4 社会规范,伦理弹性-死刑,Q195,Justifiable: Death penalty,连续/有序,94751,2469,2.54,,4.098130890439151,3.1828789659158616,1.0,10.0,
维度4 社会规范,工作伦理-不工作者变懒,Q39P,People who don´t work turn lazy,连续/有序,96272,948,0.975,,3.8010221040385574,1.1225754976340718,1.0,5.0,
维度4 社会规范,工作伦理-工作是社会义务,Q40P,Work is a duty towards society,连续/有序,96368,852,0.876,,3.827878548895899,1.0318534531474222,1.0,5.0,
维度4 社会规范,工作伦理-工作优先于闲暇,Q41P,Work should  always come first even if it means less spare time,连续/有序,96430,790,0.813,,3.464824224826299,1.188565926015477,1.0,5.0,
维度4 社会规范,工作伦理-收入平等vs激励,Q106,Income equality vs larger income differences,连续/有序,95851,1369,1.408,,6.281906292057464,2.986989017651965,1.0,10.0,
维度4 社会规范,工作伦理-私有vs国有,Q107,Private vs state ownership of business,连续/有序,93776,3444,3.542,,5.647297816072343,2.8284070958268597,1.0,10.0,
维度4 社会规范,工作伦理-政府vs个人责任,Q108,Government´s vs individual´s responsibility,连续/有序,96042,1178,1.212,,5.0281543491389185,3.008617393761807,1.0,10.0,
维度4 社会规范,工作伦理-竞争观,Q109,Competition good or harmful,连续/有序,95558,1662,1.71,,4.064955315096591,2.735126192687139,1.0,10.0,
维度4 社会规范,工作伦理-成功归因,Q110,Success: hard work vs luck,连续/有序,95779,1441,1.482,,4.462324726714624,2.934960080481615,1.0,10.0,
维度4 社会规范,工作伦理-环境vs增长,Q111,Protecting environment vs. Economic growth,连续/有序,92569,4651,4.784,,1.4595815013665483,0.5568631994364132,1.0,3.0,
维度4 社会规范,政府权力-公共监控,Q196P,Government has the right: Keep people under video surveillance in public areas,连续/有序,93834,3386,3.483,,2.731088944305902,1.09639795202886,1.0,4.0,
维度4 社会规范,政府权力-监控通讯,Q197P,Government has the right: Monitor all e-mails and any other information,连续/有序,92882,4338,4.462,,2.1014728365022286,1.066296576258132,1.0,4.0,
维度4 社会规范,政府权力-收集信息,Q198P,Government has the right: Collect information about anyone living in this,连续/有序,93264,3956,4.069,,2.0454087322010635,1.074439496279275,1.0,4.0,
维度5 关系结构,家庭结构-婚姻状况,Q273,Marital status,连续/有序,96631,589,0.606,,2.665024681520423,2.147259465315037,1.0,6.0,
维度5 关系结构,家庭结构-子女数,Q274,How many children do you have,连续/有序,92364,4856,4.995,,1.7719024728249102,1.719564800450044,0.0,24.0,
维度5 关系结构,家庭结构-家庭规模,Q270,Number of people in household,连续/有序,96235,985,1.013,,4.024689562009664,2.5688380727083615,1.0,63.0,
维度5 关系结构,家庭结构-与父母同住,Q271,Do you live with your parents,二值,94956,2264,2.329,,1.3528476346939635,0.5997457906671598,1.0,4.0,
维度5 关系结构,家庭结构-家庭重要性,Q1P,Important in life: Family,连续/有序,97065,155,0.159,,3.8868593210735076,0.36500194284554627,1.0,4.0,
维度5 关系结构,家庭结构-朋友重要性,Q2P,Important in life: Friends,连续/有序,96908,312,0.321,,3.2910698807116026,0.743606538019112,1.0,4.0,
维度5 关系结构,家庭结构-闲暇重要性,Q3P,Important in life: Leisure time,连续/有序,96685,535,0.55,,3.215204013032011,0.787053735001787,1.0,4.0,
维度5 关系结构,移民背景-本人移民,Q263,Respondent immigrant,二值,96836,384,0.395,,1.058459663761411,0.23461180679124782,1.0,2.0,
维度5 关系结构,移民背景-母亲移民,Q264,Mother immigrant,二值,92539,4681,4.815,,1.096878073028669,0.2957932681344602,1.0,2.0,
维度5 关系结构,移民背景-父亲移民,Q265,Father immigrant,二值,92341,4879,5.019,,1.1000205759088595,0.30002905716087996,1.0,2.0,
维度5 关系结构,移民背景-本人出生国,Q266,Country of birth: Respondent,分类,93829,3391,3.488,154.0,,,,,124=3329; 360=3256; 826=3052
维度5 关系结构,移民背景-母亲出生国,Q267,Country of birth: Mother of the respondent,分类,89761,7459,7.672,159.0,,,,,360=3304; 124=2832; 792=2734
维度5 关系结构,移民背景-父亲出生国,Q268,Country of birth: Father of the respondent,分类,89637,7583,7.8,154.0,,,,,360=3289; 792=2766; 124=2763
维度5 关系结构,移民背景-公民身份,Q269,Respondent citizen,二值,92016,5204,5.353,,1.0222896018083811,0.14762456536425086,1.0,2.0,
维度5 关系结构,组织参与-宗教组织,Q94R,Membership: church or religious organization,连续/有序,96126,1094,1.125,,0.3670807065726234,0.48201128453331954,0.0,1.0,
维度5 关系结构,组织参与-体育组织,Q95R,Membership: sport or recreational org,连续/有序,96082,1138,1.171,,0.25269041027455713,0.4345571679695068,0.0,1.0,
维度5 关系结构,组织参与-文化教育组织,Q96R,"Membership: art, music, educational org",连续/有序,96006,1214,1.249,,0.2077578484678041,0.4057046207585516,0.0,1.0,
维度5 关系结构,组织参与-工会,Q97R,Membership: labor union,连续/有序,95829,1391,1.431,,0.164470045602062,0.3707034983995902,0.0,1.0,
维度5 关系结构,组织参与-政党,Q98R,Membership: political party,连续/有序,95876,1344,1.382,,0.14924485794150777,0.3563315235237267,0.0,1.0,
维度5 关系结构,组织参与-环保组织,Q99R,Membership: environmental organization,连续/有序,95794,1426,1.467,,0.13704407374157046,0.34389566755358714,0.0,1.0,
维度5 关系结构,组织参与-专业组织,Q100R,Membership: professional organization,连续/有序,95623,1597,1.643,,0.17056565888959768,0.37613095379127703,0.0,1.0,
维度5 关系结构,组织参与-慈善组织,Q101R,Membership: charitable/humanitarian organization,连续/有序,95817,1403,1.443,,0.18416356178966153,0.38761954592177195,0.0,1.0,
维度5 关系结构,组织参与-消费者组织,Q102R,Membership: consumer organization,连续/有序,95505,1715,1.764,,0.113334380398932,0.31700276153781987,0.0,1.0,
维度5 关系结构,组织参与-自助组织,Q103R,"Membership: self-help group, mutual aid group",连续/有序,95618,1602,1.648,,0.1499508460750068,0.35702510124837306,0.0,1.0,
维度5 关系结构,组织参与-妇女组织,Q104R,Active/Inactive membership: women’s group (R),连续/有序,94179,3041,3.128,,0.12977415347370433,0.3360565751568886,0.0,1.0,
维度5 关系结构,组织参与-其他组织,Q105R,Membership: other organization,连续/有序,90832,6388,6.571,,0.12592478421701603,0.33176640083483505,0.0,1.0,
维度5 关系结构,地域认同-人权感知,Q253P,Respect for individual human rights nowadays,连续/有序,95120,2100,2.16,,2.701272077375946,0.860639314238098,1.0,4.0,
维度5 关系结构,地域认同-国家自豪,Q254P,National pride,连续/有序,95844,1376,1.415,,3.47996744710154,0.7690049195452582,1.0,5.0,
维度5 关系结构,地域认同-认同村镇,Q255P,"Feel close to your village, town or city",连续/有序,94313,2907,2.99,,3.3866805212430946,0.7365235935725792,1.0,4.0,
维度5 关系结构,地域认同-认同地区,Q256P,"Feel close to your district, region",连续/有序,91980,5240,5.39,,3.222504892367906,0.8086082088912676,1.0,4.0,
维度5 关系结构,地域认同-认同国家,Q257P,Feel close to your country,连续/有序,96041,1179,1.213,,3.269801438968774,0.7978189312089745,1.0,4.0,
维度5 关系结构,地域认同-认同大洲,Q258P,Feel close to your continent,连续/有序,94318,2902,2.985,,2.5822536525371613,0.9640932919844002,1.0,4.0,
维度5 关系结构,地域认同-认同世界,Q259P,Feel close to the world,连续/有序,92128,5092,5.238,,2.5187239492879474,0.9952490678963691,1.0,4.0,
维度5 关系结构,儿童品质-礼貌,Q7P,Important child qualities: Good manners,连续/有序,96823,397,0.408,,0.7750947605424331,0.4175220630925173,0.0,1.0,
维度5 关系结构,儿童品质-独立,Q8P,Important child qualities: Independence,连续/有序,96182,1038,1.068,,0.43246137530930945,0.49542011062834923,0.0,1.0,
维度5 关系结构,儿童品质-勤奋,Q9P,Important child qualities: Hard work,连续/有序,96528,692,0.712,,0.5341248135256091,0.49883672177051736,0.0,1.0,
维度5 关系结构,儿童品质-责任感,Q10P,Important child qualities: Feeling of responsibility,连续/有序,96667,553,0.569,,0.6497356905665842,0.4770551092427461,0.0,1.0,
维度5 关系结构,儿童品质-想象力,Q11P,Important child qualities: Imagination,连续/有序,96017,1203,1.237,,0.21550350458772927,0.41117332703436527,0.0,1.0,
维度5 关系结构,儿童品质-宽容,Q12P,Important child qualities: Tolerance and respect for other people,连续/有序,96577,643,0.661,,0.6296219596798409,0.48290844083342727,0.0,1.0,
维度5 关系结构,儿童品质-节俭,Q13P,Important child qualities: Thrift saving money and things,连续/有序,96104,1116,1.148,,0.30223507866477983,0.4592289519353603,0.0,1.0,
维度5 关系结构,儿童品质-毅力,Q14P,Important child qualities: Determination perseverance,连续/有序,96089,1131,1.163,,0.33492907616896833,0.4719681221328544,0.0,1.0,
维度5 关系结构,儿童品质-宗教信仰,Q15P,Important child qualities: Religious faith,连续/有序,96109,1111,1.143,,0.34546192344109294,0.47552112008015596,0.0,1.0,
维度5 关系结构,儿童品质-无私,Q16P,Important child qualities: Unselfishness,连续/有序,96096,1124,1.156,,0.2828837828837829,0.45040277453275435,0.0,1.0,
维度5 关系结构,儿童品质-服从,Q17P,Important child qualities: Obedience,连续/有序,96028,1192,1.226,,0.3105136001999417,0.46270631486830904,0.0,1.0,
维度5 关系结构,邻里排斥-吸毒者,Q18P,Neighbors: Drug addicts,连续/有序,96291,929,0.956,,0.8371291190246233,0.3692497435040663,0.0,1.0,
维度5 关系结构,邻里排斥-异族,Q19P,Neighbors: People of a different race,连续/有序,96064,1156,1.189,,0.16162141905396402,0.3681050753371265,0.0,1.0,
维度5 关系结构,邻里排斥-艾滋病人,Q20P,Neighbors: People who have AIDS,连续/有序,95759,1461,1.503,,0.398782359882622,0.48965037842161885,0.0,1.0,
维度5 关系结构,邻里排斥-移民,Q21P,Neighbors: Immigrants/foreign workers,连续/有序,95914,1306,1.343,,0.21699647600975874,0.4122023494595726,0.0,1.0,
维度5 关系结构,邻里排斥-同性恋,Q22P,Neighbors: Homosexuals,连续/有序,93083,4137,4.255,,0.4355360269866678,0.4958296454859302,0.0,1.0,
维度5 关系结构,邻里排斥-异教徒,Q23P,Neighbors: People of a different religion,连续/有序,96027,1193,1.227,,0.17840815603944724,0.3828579532227977,0.0,1.0,
维度5 关系结构,邻里排斥-酗酒者,Q24P,Neighbors: Heavy drinkers,连续/有序,96213,1007,1.036,,0.6864560922120712,0.46393573128066296,0.0,1.0,
维度5 关系结构,邻里排斥-未婚同居者,Q25P,Neighbors: Unmarried couples living together,连续/有序,94777,2443,2.513,,0.24173586418645873,0.42813732631315665,0.0,1.0,
维度5 关系结构,邻里排斥-异语者,Q26P,Neighbors: People who speak a different language,连续/有序,96030,1190,1.224,,0.15333749869832344,0.3603143934507272,0.0,1.0,
维度6 宗教/传统,上帝重要性,Q164,Importance of God,连续/有序,94967,2253,2.317,,7.360209335874567,3.232967236817156,1.0,10.0,
维度6 宗教/传统,信上帝,Q165P,Believe in: God,二值,92529,4691,4.825,,0.8038668957840245,0.3970725545996528,0.0,1.0,
维度6 宗教/传统,信来世,Q166P,Believe in: life after death,二值,89625,7595,7.812,,0.6428340306834031,0.479166987046398,0.0,1.0,
维度6 宗教/传统,信地狱,Q167P,Believe in: hell,二值,90076,7144,7.348,,0.5863493050313069,0.49249009148183676,0.0,1.0,
维度6 宗教/传统,信天堂,Q168P,Believe in: heaven,二值,90249,6971,7.17,,0.6780573745969485,0.4672237046562806,0.0,1.0,
维度6 宗教/传统,科学宗教冲突时宗教对,Q169P,"Whenever science and religion conflict,  religion is always right",连续/有序,91627,5593,5.753,,2.5401464633786985,1.0602269939102245,1.0,4.0,
维度6 宗教/传统,宗教派别,Q289,Religious denominations - major groups,分类,95857,1363,1.402,10.0,,,,,5=25398; 0=23460; 1=19038
维度6 宗教/传统,宗教服务频率,Q171P,How often do you attend religious services,连续/有序,96008,1212,1.247,,3.801537371885676,2.195755241407907,1.0,7.0,
维度6 宗教/传统,宗教组织信任,Q64P,Confidence: Churches,连续/有序,95184,2036,2.094,,2.8063960329467137,1.0012036193625484,1.0,4.0,
维度6 宗教/传统,宗教重要性(指数),I_RELIGIMP,RELIGIMP - Welzel disbelief-,连续/有序,96294,926,0.952,,0.3276711944669449,0.3641659040034028,0.0,1.0,
维度6 宗教/传统,宗教信仰(指数),I_RELIGBEL,RELIGBEL - Welzel disbelief-,连续/有序,94568,2652,2.728,,0.3838719228491667,0.4863298990608561,0.0,1.0,
维度6 宗教/传统,宗教实践(指数),I_RELIGPRAC,RELIGPRAC - Welzel,连续/有序,96008,1212,1.247,,0.5330771076472794,0.36595913750756387,0.0,1.0,
维度6 宗教/传统,让父母骄傲,Q27P,One of main goals in life has been to make my parents proud,连续/有序,95544,1676,1.724,,3.348132797454576,0.7449975647178594,1.0,4.0,
维度7 社会经济背景,性别,Q260,Sex,二值,97125,95,0.098,,1.5264350064350065,0.4993032718387021,1.0,2.0,
维度7 社会经济背景,出生年,Q261,Year of birth,连续/有序,95636,1584,1.629,,1975.635942532101,16.66796211484016,1916.0,2007.0,
维度7 社会经济背景,年龄,Q262,Age,连续/有序,96709,511,0.526,,43.17764634108511,16.58287391754093,16.0,103.0,
维度7 社会经济背景,年龄(6段),X003R,Age recoded (6 intervals),连续/有序,96709,511,0.526,,3.3314686327022303,1.6023247780777792,1.0,6.0,
维度7 社会经济背景,年龄(3段),X003R2,Age recoded (3 intervals),连续/有序,96709,511,0.526,,2.0987912190178784,0.7706575805100746,1.0,3.0,
维度7 社会经济背景,教育(ISCED),Q275,Highest educational level: Respondent [ISCED 2011],连续/有序,96149,1071,1.102,,3.564696460701619,2.022275803784853,0.0,8.0,
维度7 社会经济背景,教育(国别版),Q275A,Highest educational level: Respondent (country specific),分类,54197,43023,44.253,404.0,,,,,360014=1067; 792015=843; 360012=840
